,Unnamed: 0,tweet,tweet_id,author_id,lang,created_at,orig_tweet
0,0,abyekwaso day african child work together guarantee future current generation young people willing ,1537407442379804673,952791386427936768,en,2022-06-16 12:11:12+00:00,"rt @abyekwaso: on this day of the african child, working together guarantees a future for the current generation of young people. willing t…"
1,1,planet national park sanparks act ceo hapiloe sello congratulate ranger arrest suspect poacher ,1537407439397593089,185034334,en,2022-06-16 12:11:11+00:00,"rt @planet_rhino: ""sa national parks (sanparks) acting ceo hapiloe sello has congratulated rangers who arrested two suspected poachers this…"
2,2,iimelightning well little late anyway here hop doesnt thatd horrible wouldnt call badak come theyre big african one small,1537406911900815360,1526763012203302912,en,2022-06-16 12:09:06+00:00,"@iimelightning well, a little too late for that anyway. here’s hoping it doesn’t. that’d be horrible, wouldn’t it? “we call them ‘badak’ where i came from. but they’re not like, big african rhinos. the ones we have are smaller.”"
3,3,catsorange imma say horn grind aphrodisiac fentanyl cut sent ,1537405204567662593,15390287,en,2022-06-16 12:02:19+00:00,"rt @catsorange1: imma say this again, those rhino horns that they grind down for aphrodisiacs should have fentanyl cut it and then sent on…"
4,4, critic say allow sale metric ton elephant ivory horn zimbabwe hold mostly animal die natural cause stoke demand lead surge poach mongabay,1537404527883694080,915528910049222657,en,2022-06-16 11:59:37+00:00,but critics say allowing the sale of the 136 metric tons of elephant ivory and rhino horn that zimbabwe is holding (mostly from animals that died of natural causes) will only stoke demand and lead to a surge in poaching. https://t.co/cy90jpbkx2 via @mongabay
5,5,helping wildlife crime follow bust piece horn found official south africa share ,1537403562963107840,705668827,en,2022-06-16 11:55:47+00:00,"rt @helpingrhinos: wildlife crime: following a bust where 17 pieces of #rhinohorn were found, officials in south africa are sharing some of…"
6,6,horni mark wildlifewednesday hippoorphan moomin give serious lewk pose hippo,1537401795516850181,980604866912489472,en,2022-06-16 11:48:46+00:00,"rt @horni_rhino: marking #wildlifewednesday with #hippoorphan moomin giving us a serious lewk 👀
#pose #hippo https://t.co/kgm0poopaz"
7,7,osmanpatricia jarsofclayug msichanakuria nkosncube childinterfacea heasofmothers unicefuganda philkajo iangaale goldenimpac,1537398350496006144,1316161624861028352,en,2022-06-16 11:35:04+00:00,rt @osmanpatricia: @jarsofclayug @msichanakuria @nkosncube @childinterfacea @heartsofmothers @unicefuganda @philkajo @iangaale @goldenimpac…
8,8,imma say horn grind aphrodisiac fentanyl cut sent wayim fan death penalty save specie fine ,1537398067057545216,1007425200105943040,en,2022-06-16 11:33:57+00:00,"imma say this again, those rhino horns that they grind down for aphrodisiacs should have fentanyl cut it and then sent on their way.

i'm no fan of the death penalty, but if it saves a species fine by me. https://t.co/spgs6sy3my"
9,9,belkanastasy story nohern white broke hea want capture paint draw people attention ,1537397597068984326,1532089863952117762,en,2022-06-16 11:32:05+00:00,rt @belkanastasy: the story of the northern white rhinos broke my heart. i wanted to capture it in a paint to draw people's attention to th…
10,10,beeasmarine white american whore notorious savage come south africa shout rare black famous ,1537395915346038784,930855071956344832,en,2022-06-16 11:25:24+00:00,"rt @beeasmarine: white american who're notorious savages come to south africa to shout down a very rare black rhino. the most ""famous"" of t…"
11,11,manoranjanpegu people delegation ate food amount lakh mere day census kaziranga national,1537394890652254208,2201395072,en,2022-06-16 11:21:20+00:00,rt @manoranjanpegu: a 70 people delegation ate food amounting to 16.79 lakhs in mere 3 days in the 14th rhino census in kaziranga national…
12,12,wildaidafrica kruger national park infect pathogen cause bovine tuberculosis accordin,1537393418825089025,1492195560081829892,en,2022-06-16 11:15:29+00:00,"rt @wildaidafrica: one in seven rhinos in the kruger national park are infected with the pathogen that causes bovine tuberculosis, accordin…"
13,13, felt fearsome lose life pass chitwan national park reach madi literally scream passing jungle encounter flock deer middle jungle,1537393418812346369,2523983004,en,2022-06-16 11:15:29+00:00,"i just felt how fearsome it is to lose life. passed through chitwan national park, to reach madi. literally screamed after passing that jungle. encountered rhino 🦏🦏 and flock of deer in the middle of the jungle."
14,14,thenamibian male suspect arrest thursday connection poach etosha national park,1537393013592317953,3254705943,en,2022-06-16 11:13:52+00:00,rt @thenamibian: two male suspects were arrested on thursday in connection with the poaching of 11 rhinos in etosha national park. https://…
15,15,paineintheb sugarbombchar think look touch horn,1537392978771120128,20495718,en,2022-06-16 11:13:44+00:00,@paineintheb @sugarbombchar i think it looks more like two rhinos touching horns
16,16,actuallytina think developed clone technology ethical thing restore animal population,1537391536459202561,1327865223517179904,en,2022-06-16 11:08:00+00:00,"rt @actually_tina: i think if we developed cloning technology like in jp, the most ethical thing to do would be restoring animal population…"
17,17, recent year british hunter also brought home head body skin polar bear cheetah giraffe monkey seal otter wild cat,1537391427239530497,52755452,en,2022-06-16 11:07:34+00:00,"in recent years, british hunters have also brought home the heads, bodies and skins of polar bears, rhinos, cheetahs, giraffes, monkeys, seals, otters, and wild cats…"
18,18,sometimes fall generation great great generation let greatness blossom nelson mandela happy youth day future leader youthday leader nextgeneration futurewarriors witsforgood southafrica youthday,1537391207378309121,1381013077424893953,en,2022-06-16 11:06:41+00:00,"“sometimes, if falls upon a generation to be great. you can be that great generation. let your greatness blossom.”
~ nelson mandela 

happy youth day to our future leaders! 🇿🇦🇿🇦

#youthday #leaders #nextgeneration #futurewarriors #witsforgood #southafrica #rhinos #youthday2022 https://t.co/s6jg1pckvo"
19,19,sidneysnippets internationalworkinganimalday send huge shout work dog especially wildlife detection ,1537390626647511040,41572208,en,2022-06-16 11:04:23+00:00,rt @sidneysnippets: on #internationalworkinganimalday sending a huge shout out for all the working dogs but especially wildlife detection d…
20,20,jarsofclayug msichanakuria nkosncube childinterfacea heasofmothers unicefuganda philkajo iangaale goldenimpactsc suganda act never tolerate level let girl child shine enjoy day child protect child,1537390272790908928,4704486262,en,2022-06-16 11:02:59+00:00,@jarsofclayug @msichanakuria @nkosncube @childinterfacea @heartsofmothers @unicefuganda @philkajo @iangaale @goldenimpactsc @rhinos_uganda such acts should never be tolerated at any level. let the girl child shine and enjoy her days as a child. protect the #child
