,Unnamed: 0,tweet,tweet_id,author_id,lang,created_at
0,0,trophyxpose let sink last nohern white eah theyre mother daughter bantrophyhuntingstop,1544792015870779393,249109479,en,2022-07-06 21:14:52+00:00
1,1,plagueratfucker yeah close nohern white know extinct know youre probably post bad faith youre wrong many grammatical stance person adjective change lol,1544791100040384515,1497663658591232001,en,2022-07-06 21:11:13+00:00
2,2,hydraze give away beautiful confident mekas bring conservation forefront proje,1544789573196140544,1372228781197299713,en,2022-07-06 21:05:09+00:00
3,3,thesuperjcast clarkconnors background assume zoo esther look fascinate nice weather today blighty hope youre enjoy drama conservative pay crumble,1544789061583380483,1256886855687188480,en,2022-07-06 21:03:07+00:00
4,4,hodilu acc cnps information officer timilsina many goh die chitwan national park cnp buffer zone,1544788182369198082,22230837,en,2022-07-06 20:59:38+00:00
5,5,debadmj indian plant grass wildlife hodilu savethe,1544788105181396997,22230837,en,2022-07-06 20:59:19+00:00
6,6,africanparks great news pleased share akagera welcome number white calf successfully transl,1544787667509968897,1013463007832231936,en,2022-07-06 20:57:35+00:00
7,7,thewilds wild excite introduce anna yearold great onehorned arrive bronx zoo shyer ,1544786764006653952,105177140,en,2022-07-06 20:53:59+00:00
8,8,hscfdn men caught redhanded allegedly kill kruger national park,1544785618919739396,3426754587,en,2022-07-06 20:49:26+00:00
9,9,ibekwe poacher suspect kill several south africa kruger national park arres,1544785582647398402,3426754587,en,2022-07-06 20:49:18+00:00
10,10,next episode new specie ukraine german seldom see hit fast shoot beast vatnik remover,1544784759968129025,1501984516738588685,en,2022-07-06 20:46:02+00:00
11,11,horni wildlifewednesday pleased see midweek conservation,1544784428873949191,1318629100131700744,en,2022-07-06 20:44:43+00:00
12,12,potterparkzoo doppsee black turn year old today sedgwick county zoo kansa born ,1544783823916916737,989679871499620353,en,2022-07-06 20:42:18+00:00
13,13,getawaymagazine watch akagera national park rwanda welcome several white calf african park perform large,1544782489448849415,3426754587,en,2022-07-06 20:37:00+00:00
14,14,recfund funding passionate effective conservationist share goal stop poach improve ,1544782295370022913,3426754587,en,2022-07-06 20:36:14+00:00
15,15,let sink last nohern white eah theyre mother daughter bantrophyhuntingstoppoachingendthedemandforhorn kylesafarismith,1544780738146570241,1361142865728954370,en,2022-07-06 20:30:03+00:00
16,16,horn economy chinacalifornia dmv donorsnewsom rubionunesthe guardian colorado funeral home owner accuse steal body pa pleads guiltyvia googlenews,1544778849996529664,1503874725289754628,en,2022-07-06 20:22:33+00:00
17,17, team pope jimmy yang keith lee defeat team vic joseph hisashi shinma gama singh trent barreta calf crusher monster ball match willy wonkas chocolate factory,1544777080314798080,836698666857545729,en,2022-07-06 20:15:31+00:00
18,18, poacher suspect kill several south africa kruger national park arrest tracked sniffer dog park offi,1544773479219838976,2404923614,en,2022-07-06 20:01:12+00:00
19,19, men caught redhanded allegedly kill kruger national park,1544773363733872641,317868707,en,2022-07-06 20:00:45+00:00
20,20,humanprogress decade become extinct locally roam wild mozambique bringin,1544769634787803136,1465033005286760458,en,2022-07-06 19:45:56+00:00
21,21, stl file recover even manage progress blender skill even set camera light still feel dig ditchif tez closer probably buy license,1544767668032602113,9082002,en,2022-07-06 19:38:07+00:00
22,22, mozambican park welcome first white year friday threaten animal complete kilometre thousandmile truck ride south africa conservationist saids mozambique,1544767136144314368,905818825328926720,en,2022-07-06 19:36:00+00:00
23,23,gillianmckeith china sell medicine chinese sell anything everything medicine include horn tiger testicle anything chinese claim medicinal well stay away far possible,1544765325845176325,1474024910678859780,en,2022-07-06 19:28:48+00:00
24,24,citysfelephants dehorn also risk southafrica stoppoaching stopthetrade elephant,1544765158102269952,1034780506523676672,en,2022-07-06 19:28:08+00:00
25,25,record negz prado share killer ramones tattoo,1544764953743073281,893324520366288896,en,2022-07-06 19:27:19+00:00
26,26,horni step easy icedcoffee make double strength coffee cafetiere leave brew place ice cube glas,1544764118044909568,1061345761722535936,en,2022-07-06 19:24:00+00:00
27,27, scotgov use mother mother law political barometer political issue incensedvery happy folk shit show right skin pension fine attach mine,1544764072994000898,626724675,en,2022-07-06 19:23:49+00:00
28,28,brishaw runthroughuk cheer brian good well organise like way call runner forward estimate time enjoy course bit zoo fun hope wasnt traumatise herd runner,1544762180959997952,1056531395705757696,en,2022-07-06 19:16:18+00:00
29,29,ktullymcmanus sad kill knew much sad way democrat work stop,1544761210914103302,1451220665076420616,en,2022-07-06 19:12:27+00:00
30,30, kill poacher arrest kruger park,1544761100461150208,51816066,en,2022-07-06 19:12:01+00:00
31,31,wizardingworld chose hnewt probebly found erumpent black market think china medizinthey use horn elephant tusk wizarding world use erumpent horn,1544760841920479232,1541857798635618304,en,2022-07-06 19:10:59+00:00
32,32,fowohzoo know great onehorned semiaquatic animal hippo great onehorned spe,1544758742968946690,1239998720504201216,en,2022-07-06 19:02:39+00:00
33,33,ajenglish see mozambique decade go extinct locally endanger animal brought,1544758023557619712,1033049696653254656,en,2022-07-06 18:59:47+00:00
34,34,gillianmckeith gullible china also believe horn,1544754546269888513,318949721,en,2022-07-06 18:45:58+00:00
35,35,jurassiclion asia specie thought africa lion elep,1544753880852008961,767219363514507264,en,2022-07-06 18:43:19+00:00
36,36, love see africaalive include baby many never see amaze,1544752861740994563,1346067901703401474,en,2022-07-06 18:39:17+00:00
37,37,rabyou suzutitor pyrenean ibexwest african black baiji river dolphinformosan cloud leopardcaribbean monk sealand spix macaw movie rio extinct wild,1544751449799856128,32139329,en,2022-07-06 18:33:40+00:00
38,38,sirf take trip way kanan river hea way kamba national park sumatra,1544746591952805890,1505897247455645699,en,2022-07-06 18:14:22+00:00
39,39, kill poacher arrest kruger park poacher suspect kill arrest spectacular hunt sniffer dog helicopter ranger kruger park ,1544745604328599552,1356250736653463555,en,2022-07-06 18:10:26+00:00
