,Unnamed: 0,tweet,tweet_id,author_id,lang,created_at
0,0,abc fresno chaffee zoo need help name new family member,1608137570936049666,501400370,en,2022-12-28 16:27:29+00:00
1,1,hope kruger national park youtube,1608136018288431107,1409958595341467648,en,2022-12-28 16:21:19+00:00
2,2,dashdobrofsky enough drug kill ,1608134886392487943,1517830326470520834,en,2022-12-28 16:16:49+00:00
3,3,dineshdsouza romney change pay democrat bill sign insane already hyper inflation go send great recession watch stock market tank price roof romney rich say great deal,1608134584209936388,1698441469,en,2022-12-28 16:15:37+00:00
4,4,sinoufc hippo face wild,1608132841837318145,1146164445795762176,en,2022-12-28 16:08:41+00:00
5,5,newsmax horn old govern anymore useless,1608131392478609410,1592872386541633550,en,2022-12-28 16:02:56+00:00
6,6,hodilu first time year zimbabwe population black white surpass individual accordi,1608131336169996298,340362533,en,2022-12-28 16:02:42+00:00
7,7,challenge remain generation gonadal somatic cell allow pgclcs oogenesis many however impoant step road undo damage weve do nohern white sconservation biology synbio,1608130779154112512,1606852626708037633,en,2022-12-28 16:00:30+00:00
8,8, fresno chaffee zoo need help name new family member,1608130758085844997,16688247,en,2022-12-28 16:00:25+00:00
9,9,hodilu december biswanath police collaboration bongaigaon police arrest notorious poacher assam,1608130396423704579,1479129212644741124,en,2022-12-28 15:58:58+00:00
10,10, say telegram join puru saxena mentorship program trade,1608124325298667523,4488714621,en,2022-12-28 15:34:51+00:00
11,11,nbcsandiego float feature giraffe wildlife safari truck represent park ability connect wildlif,1608124272798748673,57228415,en,2022-12-28 15:34:38+00:00
12,12, international endanger specie day sweet baby david sheldrick wildlife orphanage nairobi kenyasome fine photo sale website ,1608121474790920194,14052086,en,2022-12-28 15:23:31+00:00
13,13,thehuntercotw nice research stuff tranquilizer gun track collar knock research lion anything track game camera scout area,1608121336273969158,237767545,en,2022-12-28 15:22:58+00:00
14,14,fresnozoo special announcement baby need name vote name option ,1608120672102014977,145081604,en,2022-12-28 15:20:20+00:00
15,15,toafrika lake nakuru national park worldfamous birding wildlife destination kenya home large number anima,1608120593928572928,34856314,en,2022-12-28 15:20:01+00:00
16,16, beautiful heaening story reminds lewawildlife sought human help injured arent brute people sometimes thinkannamerzrescuer swithoutborders hornsbelongons,1608119742417756160,247440708,en,2022-12-28 15:16:38+00:00
17,17,goodwolfpac arctic shark caribbean red wolf black best speciesrelated story year,1608118693401067521,1381633563385339907,en,2022-12-28 15:12:28+00:00
18,18,cincinnatizoo wonderful moment baby,1608115859142107137,64058834,en,2022-12-28 15:01:12+00:00
19,19,tomcottonar nothing compassionate voting debt tax payer pay nation border protection cotton stalk,1608114255655485441,346133927,en,2022-12-28 14:54:50+00:00
20,20,boulezian thats he breenging idiot diplomatic skill ,1608111989124898821,248721698,en,2022-12-28 14:45:50+00:00
21,21,international union conservation nature reveals zims endanger black make comeback first time year zimbabwe population surpass individual accord international union conservation natu,1608107491815981057,1380421518799278083,en,2022-12-28 14:27:57+00:00
22,22,ugandawaka mom pregnant month give bih single calf female reproduce ,1608107439802523650,1277218591297986567,en,2022-12-28 14:27:45+00:00
23,23, say telegram join puru saxena mentorship program trade thank later,1608106013864992769,3189720390,en,2022-12-28 14:22:05+00:00
24,24,mistoverde cbmshots factually incorrect superman kill civilian snyder want epic final battle deliver want bad look marc webb spiderman crack joke ram civilian car,1608105943434141698,1229235462377701377,en,2022-12-28 14:21:48+00:00
25,25,chesterzoo female great onehorned born october public vote call new calf jiya meaning sunshine,1608104520873312261,832195765548130304,en,2022-12-28 14:16:09+00:00
26,26,savethe christmas lunch fotawildlife great onehorned maya get special brunch day hay pellet,1608103119451262978,44861089,en,2022-12-28 14:10:35+00:00
27,27,dierenpark amersfoo dpamersfoo raise record amount euro suppo twenty global nature conservation project recipient international foundation ngo enganged conservation,1608102180762058755,44861089,en,2022-12-28 14:06:51+00:00
28,28,philconnorsii usmcorps harryjsisson enough fent system kill ,1608098139008811009,59750685,en,2022-12-28 13:50:48+00:00
29,29,contdmarma stokemarma make anthemic indie missile strong horn let explode eardrum today,1608098053889658884,759423603045756929,en,2022-12-28 13:50:27+00:00
30,30,designweek lose free exhibition feature lifesize projection nohern white open natural history museum mosyandesign mosyanorganizer,1608097826424119296,1854562957,en,2022-12-28 13:49:33+00:00
31,31,today driver tour truck tourist drove park road park right next pair park rule kwskenya take immediate action driver tour company mintourismke savethe wildlifedirect,1608097705795911681,21990241,en,2022-12-28 13:49:04+00:00
32,32,madukhal enjoy amaze view kenya day trip visit lake nakuru national park also know sanctuary book,1608096012324724736,1588421382412591107,en,2022-12-28 13:42:20+00:00
33,33,planet nothing terrify poacher hear offleash pack baying hound bearing ,1608095873052844033,862224374056747008,en,2022-12-28 13:41:47+00:00
34,34, nothing terrify poacher hear offleash pack baying hound bearing antipoachingdogs kruger,1608095421951315970,905818825328926720,en,2022-12-28 13:40:00+00:00
35,35,stillultra sherrytapscott bchkdh wheather pokeintexas riccigeri llpretty pragmaticm jimjorsey brianhallteachr missyleroy calipatriot auditdavotepa usvetret retiredcsuite randal horsywoman brunelshawn coolname maryjwilhite therazor fvallrun crazy new craze old scientific validity horn china human placenta make give strength youth hard yea stoopid,1608095403311874049,1516458010121424896,en,2022-12-28 13:39:55+00:00
36,36,mom pregnant month give bih single calf female reproduce year couesy naturelovers bih wildlife traveler videoviral african natgeotravel naturelover wildlifeshots,1608093589975826433,2588698528,en,2022-12-28 13:32:43+00:00
37,37,wildlenseindia conclude night day terai arc wildlife tour different tiger leopard sloth elephant bird,1608093535152279552,888272343579086851,en,2022-12-28 13:32:30+00:00
38,38, first time year zimbabwe population black white surpass individual accord iucn specie survival commission african specialist group,1608092180861575170,44861089,en,2022-12-28 13:27:07+00:00
39,39,careforwild love ,1608088874093256706,237287161,en,2022-12-28 13:13:59+00:00
40,40, lose free exhibition feature lifesize projection nohern white open natural history museum,1608088249821544448,41337901,en,2022-12-28 13:11:30+00:00
41,41,robeovalentun amaze matobo national park matopos hill south bulawayo zimbabwe pinnacle ,1608087889619083265,97979745,en,2022-12-28 13:10:04+00:00
42,42,rwmalonemd isnt company promotes ancient chinese remedy pretty sure internationally respect medical laboratory conduct study many subject use chinese die hope erection,1608087043019796480,839139219222077440,en,2022-12-28 13:06:42+00:00
43,43,savethe take lot save especially youre deal poach crisis right ranger kwazulunat,1608083713795018752,22230837,en,2022-12-28 12:53:28+00:00
44,44,jamesrodriguez madonna record recordsuk mikekillmon always like songi never wan girl,1608082711083876352,375243206,en,2022-12-28 12:49:29+00:00
45,45,lowke think right thingif dont take care next dinosaursdid know baby eventually kill mom separate horn dangerous specie,1608081027427082242,3363611393,en,2022-12-28 12:42:48+00:00
46,46,trophyxpose people try persuade world kill big game necessary viable ever take place nowadays bare face liar line pocket andor seeker blood self gratification god help planet,1608079015952130051,400773433,en,2022-12-28 12:34:48+00:00
47,47,deadlinewh kimberlyeatkins nicolledwallace medium carry water lefty carry water biden regime expect corrupt dojfbi carry corrupt demand,1608078301318492160,1507052855219433489,en,2022-12-28 12:31:58+00:00
48,48,lintpop scientiapercept megafant ingridingwah wendilin kesterlowers truthswordsa sicutlupus onkelfester mucusmucous darkcowboygod eiiw mindfuldamage dirkfasshauer galcondude tessfromwessex mirandaisrisen umfpt timmbosliceeee cannauk remofjacob hubie flaffenbam takethathistory wastedaerospace spikeinthemidge heatheist xxschlitzmaltxx briannazarenus cholingman heathenwombat clayster rkdoctr sidneyst melanie thhuxley gotaqu omnimomo serpent ravenlove knitman catinabox remofjacob warrensm crispycurry missp maidelk truthwiththord mean grow large mate successfullyeg white grazer black nibbler leaf thorn,1608078004864819200,860778319704457217,en,2022-12-28 12:30:47+00:00
49,49,nigelfarage dear value platinum customer thank update autodelivery set ensures prompt efficient delivery even time unprecedented demand product delivery service ltd,1608076653934043142,1251247297234681857,en,2022-12-28 12:25:25+00:00
50,50, december biswanath police collaboration bongaigaon police arrest notorious poacher assam police want criminal base criminal confession rifle use poach recover,1608073915896659969,44861089,en,2022-12-28 12:14:32+00:00
51,51,zyumiiko maybe le adultes utilisent horn jsp,1608071831088414720,1277992032494067719,en,2022-12-28 12:06:15+00:00
52,52,lake nakuru park worldfamous birding wildlife destination kenya park home hundred specie animal include critically endanger black inquiry infokenyaparkscokelake nakuru wildlife safari,1608070391435517953,1356961376737099776,en,2022-12-28 12:00:32+00:00
53,53, recent go school event laokhuwa bongaon school laokhuwa assam attract student teacher include visual presentation population distribution habit habitat impoance conservation,1608067029050986498,82949737,en,2022-12-28 11:47:10+00:00
54,54,leisasnewman josefszentjobi uncle ted true conservationist great american guitar knock ball hundred yard,1608064408311459840,1511757138028380162,en,2022-12-28 11:36:45+00:00
55,55,kenyagameparks pejeta conservancy large black sanctuary east africa home black elephant lion,1608063576803102723,4037623755,en,2022-12-28 11:33:27+00:00
56,56,olpejeta celebrate bih critically endanger black provide scholarship child ,1608063287153037313,2669447159,en,2022-12-28 11:32:18+00:00
57,57,careforwild milk milk milk breakfast time bomas whilst aquazi mavic enjoy milk bottle jock ,1608062773686308866,841539400022519809,en,2022-12-28 11:30:16+00:00
58,58,mintourismke release ivory stockpile repo tonne ivory horn,1608062155860967424,2605340502,en,2022-12-28 11:27:48+00:00
59,59,movetheworldus chineseresponsible horn ivory trade ,1608061407462887430,1027992064385003521,en,2022-12-28 11:24:50+00:00
60,60,trafficwltrade corruption manifest illegal horn supply chaintake look new visual guide produ,1608060554681389057,285049799,en,2022-12-28 11:21:27+00:00
61,61,international day agree common day einstein bihdaythe papyrus suggests result yet babylonian clay tablet suggests piwhich closest approximation ,1608057344285462529,1466988164954742786,en,2022-12-28 11:08:41+00:00
62,62,ilfanilyas trophyxpose long long life specie endanger specie end bullet shoot gun,1608056372146622464,1554497968895832066,en,2022-12-28 11:04:50+00:00
63,63, read new business member secure link business profile digital marketing platform grow business dominate competitionbusinessdirectory citationdirectory businesslistings seo lead,1608053731135836162,1439977589892915204,en,2022-12-28 10:54:20+00:00
64,64, say swahiliit time feedand boy feedpoacherselephantskrugernationalparksouthafricasafrica,1608052986236002309,856218099003133952,en,2022-12-28 10:51:22+00:00
