,Unnamed: 0,tweet,tweet_id,author_id,lang,created_at
0,0,opfunkill dead elephant retweetssoon dead retweetssave ron,419700620723904512,838452588,en,2014-01-05 05:23:20+00:00
1,1,south african poach death nears httptcossmymaqqe,419697606516695040,128809077,en,2014-01-05 05:11:21+00:00
2,2,south african poach death nears buddy scoopit httptcobmokwrzl,419697592638144512,128809077,en,2014-01-05 05:11:18+00:00
3,3,piniond power bracelet evidence people west gullible horn snoing eastern counterpas,419697474895626240,482658817,en,2014-01-05 05:10:50+00:00
4,4,china obsession horn send httptcozmrzrxxwho,419697238038679552,128809077,en,2014-01-05 05:09:53+00:00
5,5,china obsession horn send south african death scoopit savethe httptcoqjacqbfm,419697224806064128,128809077,en,2014-01-05 05:09:50+00:00
6,6, save black dallas safari club bid kill kera news scoopit httptcoreehzt,419697153356095488,128809077,en,2014-01-05 05:09:33+00:00
7,7, irish clan europe horn theft httptcoivxhdcfv,419696997637947392,128809077,en,2014-01-05 05:08:56+00:00
8,8, irish clan europe horn theft epidemic businessweek scoopit httptcolmlyssbjxv,419696984279515136,128809077,en,2014-01-05 05:08:53+00:00
9,9,kenya implant microchip fight poach keene sentinel scoopit httptcojmoencwg,419696785511440384,128809077,en,2014-01-05 05:08:05+00:00
10,10,officialkushgod white slipper albino african endanger,419694788418740224,266204332,en,2014-01-05 05:00:09+00:00
11,11,dallassafariclb kill endanger black conservation blatant abuse africa natural resource,419693682720526336,2182993739,en,2014-01-05 04:55:46+00:00
12,12,crazyforlions dallas auction right hunt endanger black stir uproar httptcouagmhate washingtonpost sto,419690700855582720,634574091,en,2014-01-05 04:43:55+00:00
13,13,kawahamarine hotbellymamas please retweet auction endanger black dallas safari club httptcovbvuvkavfp cnnirepo,419688823925121025,1145295656,en,2014-01-05 04:36:27+00:00
14,14,bitch pussy smell horn snail lip,419683269203202048,261756684,en,2014-01-05 04:14:23+00:00
15,15,wulalowe number kill number poacher arrest south africa httptcoqqwttknsfx wildlife ,419682845649416193,15386386,en,2014-01-05 04:12:42+00:00
16,16,oariass alright listen album wildewoman lucius saw record sale didnt cash left,419681340192088064,31061354,en,2014-01-05 04:06:43+00:00
17,17,susanmoc cnn irepo can hunt black opfunkill httptcoqfytwwnno,419678693154631680,1867342454,en,2014-01-05 03:56:12+00:00
18,18,hailey want post biome project grassland include giraffe wild dog httptcohqnkxdco,419677956412162048,718088018,en,2014-01-05 03:53:16+00:00
19,19,creates panic kaziranga national park time india httptcompudwjql,419677582884601856,321780524,en,2014-01-05 03:51:47+00:00
20,20,dallas safari club stop auction kill endanger black httptcomvewcms change,419677354487607298,208735483,en,2014-01-05 03:50:53+00:00
21,21,national enteainment networkplush stuffed brightcolorful httptcojapdigee httptcouciulxi,419676960495656960,2165638489,en,2014-01-05 03:49:19+00:00
22,22, irish clan europe horn theft epidemic businessweek httptconhflzxuws,419675984292347904,30426752,en,2014-01-05 03:45:26+00:00
23,23,dallas safari club stop auction kill endanger black httptcowvsyrqu,419674382475493376,310030170,en,2014-01-05 03:39:04+00:00
24,24,perveed evolve alreadyauction black dallas safari club httptcogcmmyhlu kill animal,419674243467456513,14196913,en,2014-01-05 03:38:31+00:00
25,25,zorkfox jadieko spectaclesak horn keratin bone,419671526208585728,19192224,en,2014-01-05 03:27:43+00:00
26,26,lorrainehamm opfunkill please retweet join tweetstorm dallas black ,419671421443670016,2225428046,en,2014-01-05 03:27:18+00:00
27,27,lorrainehamm theykillanimals plse retweet join tweetstorm black auction dallas ,419670721691156480,2225428046,en,2014-01-05 03:24:31+00:00
28,28,jblee cool wildlife park well zoo lion hyena giraffe huge enclosure habitat,419667307053346817,550047413,en,2014-01-05 03:10:57+00:00
29,29,anonian ewhitebsm understand research black endanger,419666991310311424,357611764,en,2014-01-05 03:09:42+00:00
30,30, find yum hornsbys strawberrylime freshnzesty httptcokjdwaexj,419666666755481601,21418238,en,2014-01-05 03:08:25+00:00
31,31,stilson pathology complex maybe mass drive cursoriality diet habitat future dissection evodevo sicb,419666114235203584,1383218460,en,2014-01-05 03:06:13+00:00
32,32,coke international collection plush bean bag rhiny tanzania cocacola httptcofpyrbjjhq cocacola animal,419663812766085122,1416132984,en,2014-01-05 02:57:04+00:00
33,33,dunno say bout brownell bowstring shit crossbow approve licensetokill notsorry stockpilethatshit,419663239979335680,2276500183,en,2014-01-05 02:54:48+00:00
34,34, horn nepal httptcoqkuklxiaw,419661839270572032,2229451088,en,2014-01-05 02:49:14+00:00
35,35, horn nepal httptcoxvshgvqaz,419660619470499840,2229451088,en,2014-01-05 02:44:23+00:00
36,36,cotswildtweets fave photo astrid hour old let hope see end poach httptcoc,419660271087390721,1598447210,en,2014-01-05 02:43:00+00:00
37,37,africanconserve horn expensive gold sad result infographic httptcozehjaq,419660125100457984,1598447210,en,2014-01-05 02:42:25+00:00
38,38,workingwild sta casescasualtiescalves respond day admittance referral standby advic,419660049586216960,1598447210,en,2014-01-05 02:42:07+00:00
39,39,opfunkill dsc auction black httptcomuwommp,419659388001857537,26264965,en,2014-01-05 02:39:29+00:00
